	0	1	2	3
0	bad	used by	billie	27
1	bad	used by	olivia	13
2	bad	used by	sabrina	32
3	bad	used by	taylor	19
4	good	used by	billie	18
5	good	used by	olivia	27
6	good	used by	sabrina	35
7	good	used by	taylor	19
8	la	used by	billie	56
9	la	used by	olivia	50
10	la	used by	sabrina	74
11	la	used by	taylor	143
12	well	used by	billie	4
13	well	used by	olivia	6
14	well	used by	sabrina	3
15	well	used by	taylor	3
16	same	used by	billie	7
17	same	used by	olivia	7
18	same	used by	sabrina	10
19	same	used by	taylor	12
20	right	used by	billie	18
21	right	used by	olivia	18
22	right	used by	sabrina	16
23	right	used by	taylor	55
24	more	used by	billie	12
25	more	used by	olivia	19
26	more	used by	sabrina	12
27	more	used by	taylor	26
28	nice	used by	billie	2
29	nice	used by	olivia	4
30	nice	used by	sabrina	10
31	nice	used by	taylor	19
32	alone	used by	billie	16
33	alone	used by	olivia	8
34	alone	used by	sabrina	11
35	alone	used by	taylor	4
36	new	used by	billie	8
37	new	used by	olivia	20
38	new	used by	sabrina	10
39	new	used by	taylor	14
40	sorry	used by	billie	10
41	sorry	used by	olivia	9
42	sorry	used by	sabrina	7
43	sorry	used by	taylor	1
44	wrong	used by	billie	6
45	wrong	used by	olivia	9
46	wrong	used by	sabrina	2
47	wrong	used by	taylor	8
48	happy	used by	billie	1
49	happy	used by	olivia	16
50	happy	used by	sabrina	2
51	happy	used by	taylor	1
52	cool	used by	billie	2
53	cool	used by	olivia	5
54	cool	used by	sabrina	15
55	cool	used by	taylor	7
56	little	used by	billie	2
57	little	used by	olivia	7
58	little	used by	sabrina	11
59	little	used by	taylor	4
60	perfect	used by	billie	0
61	perfect	used by	olivia	11
62	perfect	used by	sabrina	15
63	perfect	used by	taylor	2
64	True	used by	billie	5
65	True	used by	olivia	7
66	True	used by	sabrina	3
67	True	used by	taylor	10
68	whole	used by	billie	1
69	whole	used by	olivia	5
70	whole	used by	sabrina	1
71	whole	used by	taylor	18
72	sure	used by	billie	6
73	sure	used by	olivia	6
74	sure	used by	sabrina	10
75	sure	used by	taylor	11
76	scared	used by	billie	11
77	scared	used by	olivia	6
78	scared	used by	sabrina	2
79	scared	used by	taylor	3
80	old	used by	billie	32
81	old	used by	olivia	26
82	old	used by	sabrina	34
83	old	used by	taylor	44
84	sad	used by	billie	7
85	sad	used by	olivia	4
86	sad	used by	sabrina	3
87	sad	used by	taylor	7
88	cold	used by	billie	5
89	cold	used by	olivia	2
90	cold	used by	sabrina	4
91	cold	used by	taylor	7
92	enough	used by	billie	5
93	enough	used by	olivia	16
94	enough	used by	sabrina	1
95	enough	used by	taylor	10
96	okay	used by	billie	6
97	okay	used by	olivia	6
98	okay	used by	sabrina	0
99	okay	used by	taylor	9
100	worth	used by	billie	1
101	worth	used by	olivia	4
102	worth	used by	sabrina	9
103	worth	used by	taylor	3
104	only	used by	billie	11
105	only	used by	olivia	14
106	only	used by	sabrina	4
107	only	used by	taylor	30
108	hard	used by	billie	6
109	hard	used by	olivia	7
110	hard	used by	sabrina	13
111	hard	used by	taylor	5
112	fine	used by	billie	2
113	fine	used by	olivia	12
114	fine	used by	sabrina	0
115	fine	used by	taylor	7
